start_velocity,end_velocity,acceleration,duration
0,0,0,11
0,15,1.04,4
15,15,0,8
15,0,-0.83,5
0,0,0,21
0,15,0.69,6
15,32,0.79,6
32,32,0,24
32,0,-0.81,11
0,0,0,21
0,15,0.69,6
15,35,0.51,11
35,50,0.46,9
50,50,0,12
50,35,-0.52,8
35,35,0,15
35,0,-0.97,10
0,0,0,7
0,0,0,11
0,15,1.04,4
15,15,0,8
15,0,-0.83,5
0,0,0,21
0,15,0.69,6
15,32,0.79,6
32,32,0,24
32,0,-0.81,11
0,0,0,21
0,15,0.69,6
15,35,0.51,11
35,50,0.46,9
50,50,0,12
50,35,-0.52,8
35,35,0,15
35,0,-0.97,10
0,0,0,7
0,0,0,11
0,15,1.04,4
15,15,0,8
15,0,-0.83,5
0,0,0,21
0,15,0.69,6
15,32,0.79,6
32,32,0,24
32,0,-0.81,11
0,0,0,21
0,15,0.69,6
15,35,0.51,11
35,50,0.46,9
50,50,0,12
50,35,-0.52,8
35,35,0,15
35,0,-0.97,10
0,0,0,7
0,0,0,11
0,15,1.04,4
15,15,0,8
15,0,-0.83,5
0,0,0,21
0,15,0.69,6
15,32,0.79,6
32,32,0,24
32,0,-0.81,11
0,0,0,21
0,15,0.69,6
15,35,0.51,11
35,50,0.46,9
50,50,0,12
50,35,-0.52,8
35,35,0,15
35,0,-0.97,10
0,0,0,7
0,0,0,20
0,15,0.69,6
15,35,0.51,11
35,50,0.42,10
50,70,0.4,14
70,70,0,50
70,50,-0.69,8
50,50,0,69
50,70,0.43,13
70,70,0,50
70,100,0.24,35
100,100,0,30
100,120,0.28,20
120,120,0,10
120,80,-0.69,16
80,50,-1.04,8
50,0,-1.39,10
0,0,0,20